Campaign Name,Community Name,Heading,Sub-Heading,Country,Code,Zakat Eligibility
Mumtaz's Syrian & Gazan Challenge,Team East London,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Rethink Mosque Fund,Dhul Hijjah 1447 Mosque Competition,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Ramadan Container Appeal 2024,Ramadan Container Appeal 2024,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Munir's Rethink Village Fundraiser,Ramadan 2024: Rethink Village,Village Project,Village Houses,Syria,VIL-SYR-HOU,Non-Zakat
Ishrat Bhatti's Syrian & Gazan Challenge,Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Dr. Umm Abdullah's GAZA & SHAM RAMADAAN appeal,Sisters'Â ProjectÂ Team,Seasonal & Annual Campaigns,Iftar,"Syria,Gaza",SEA-ALL-IFT,Zakat
Zahra Bux's Syrian & Gazan Challenge,Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-ALL,Zakat
Nazia's Syrian and Gaza Challenge,Sisters'Â ProjectÂ Team,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Ibrahim's Ramadan Syrian & Gazan Challenge,Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Harlow Events for the Ummah,Ramadan 2024: Rethink Village,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Bilgi4Syria,Ramadan 2024: Rethink Village,Village Project,Village Houses,Syria,VIL-SYR-HOU,Non-Zakat
Help Javed build a Village in Syria,Ramadan 2024: Rethink Village,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Syed4Syria&Gaza 2024,Team East London,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Saph's Syrian & Gazan Challenge,Sisters'Â ProjectÂ Team,Seasonal & Annual Campaigns,Iftar,"Syria,Gaza",SEA-ALL-IFT,Zakat
"Farah, Safiyyah, Fatimah and Ayoob's fundraising for Gaza andÂ Syria",Sisters'Â ProjectÂ Team,General Fund,Most Needed / Flexible Allocation,"Gaza,Syria",MST-GAZ,Zakat
Umm Ruhees Ramadan Campaign 2024,Ramadan 2024: Rethink Village,Village Project,Village Houses,Syria,VIL-SYR-HOU,Non-Zakat
Maqsudahâ€™s Syrian & Gazan Challenge,Sisters'Â ProjectÂ Team,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Syria needs you Campaign,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
Tyeeba Home Syria,Team Sharif and Zuhda,Village Project,Village Houses,Syria,VIL-SYR-HOU,Non-Zakat
Jihad Elmasri for Syria,Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Abdullah4Ummah,Team South London,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Amina Khan's Syria Fundraiser,Syria's MostÂ Needy,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Together Giving this Ramadan,Syrian & Gazan Challenge,Seasonal & Annual Campaigns,Iftar,"Syria,Gaza",SEA-ALL-IFT,Zakat
Masjid Yusuf water project,Rethink Mosque Fund,Infrastructure,Unassigned,United Kingdom,INF-GBR,Non-Zakat
Salma's Iftar 500,RAMADAN 2024 IFTAR4SHAAM CHALLENGE,Seasonal & Annual Campaigns,Iftar,Syria,SEA-SYR-IFT,Zakat
Nation of Good Doers,Ramadan 2024: Rethink Village,Village Project,Village Houses,Syria,VIL-SYR-HOU,Zakat
Momta Home 4 Syria,Ramadan 2024: Rethink Village,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Project Cubs in Northern Syria,Ramadan 2024,Sponsorships,Educational Sponsorships,Syria,SPN-SYR-EDU,Zakat
LDN4SYRIA,Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Zaynab's fundraiser for Gaza,Syrian & Gazan Challenge,Village Project,Village Houses,Syria,VIL-SYR-HOU,Non-Zakat
Ramadan Fundraiser for Syria,Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Sama and Ayaan's Ramadan Charity Fundraiser for Syria and Gaza,Sisters'Â ProjectÂ Team,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Masroor Ahmed's Syrian & Gazan Challenge,Team East London,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Sania Ghafoor's Syrian & Gazan Challenge,Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Asia's Syria and GazaÂ challenge,Sisters'Â ProjectÂ Team,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Yunus Family Syria Fundraiser,Syrian & Gazan Challenge,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Caring Muslima 4 Syria & Gaza,Team North,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Working for Akhirah,Sisters'Â ProjectÂ Team,Sponsorships,Widow Sponsorship,Syria,SPN-SYR-WID,Zakat
Sofia4Syria&Gaza,Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Help people in Gaza and Syria,Syrian & Gazan Challenge,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
"Juwairiyah, Fatima, Zainab, Ismael, Binyamin, Yusuf,Â Maryam Syrian & Gazan Challenge",Sisters'Â ProjectÂ Team,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Surraiya's Page,Syrian & Gazan Challenge,Seasonal & Annual Campaigns,Iftar,"Syria,Gaza",SEA-ALL-IFT,Zakat
Jannah Umm Ishaaq,Ramadan 2024: Rethink Village,Village Project,Village Houses,Syria,VIL-SYR-HOU,Non-Zakat
Educate and Empower the Next Generation,Rethink Charity,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
"Maryam Alimohamed, J , Umm Fatimah, Ruwayda Challenge",Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Coalsuma's Qur'an class challenge.,Sisters'Â ProjectÂ Team,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
United with Syria for Fisabilillah_gifts,Ramadan 2024: Rethink Village,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Sarah's Fundraiser for Syria,Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Saira Shareef's Village Project,Ramadan 2024: Rethink Village,Village Project,Village General,General / Multi-Country,VIL-ALL-GEN,Non-Zakat
Memi Family,Ramadan 2024: Rethink Village,Village Project,Village Houses,Syria,VIL-SYR-HOU,Zakat
Ulfa & Zoya for Gaza & Syria MEGAÂ FUNDRAISER,Sisters'Â ProjectÂ Team,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Younus for Gaza/Syria,Team South London,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Asiaâ€™s Syrian/Gaza fundraiser,Syrian & Gazan Challenge,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Ideal Muslim Woman,Ramadan 2024: Rethink Village,Village Project,Village Houses,Syria,VIL-SYR-HOU,Non-Zakat
Nosheens Village in Syria project,Ramadan 2024: Rethink Village,Village Project,Village Houses,Syria,VIL-SYR-HOU,Non-Zakat
Rubyâ€™s Syria & Gaza Fundraiser 2024,Syrian & Gazan Challenge,Seasonal & Annual Campaigns,Iftar,"Syria,Gaza",SEA-ALL-IFT,Zakat
Rahim and Munna Ramadan Syrian and Gazan Challenge,Team East London,Seasonal & Annual Campaigns,Iftar,"Syria,Gaza",SEA-ALL-IFT,Zakat
Zeshanâ€™s London Marathon 2024,Rethink Charity,Emergency Aid,Unassigned,Gaza,EMR-GAZ,Zakat
Homes for Syria,Ramadan 2024: Rethink Village,Village Project,Village Houses,Syria,VIL-SYR-HOU,Zakat
Hamid's and Osman's Syrian & Gazan Challenge,Team East London,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Samina's Let's build them a HOME Challenge!,Ramadan 2024: Rethink Village,Village Project,Village Houses,Syria,VIL-SYR-HOU,Zakat
Raise for Syria with Marium,Syria's MostÂ Needy,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Ever So Special's Syria & Gaza Campaign,Sisters'Â ProjectÂ Team,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Afzal Family for Syria,Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Help in Syria,Syrian & Gazan Challenge,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Share the joy of Eid with Syrian children,Rethink Charity,Seasonal & Annual Campaigns,Eid Party,Syria,SEA-SYR-EID,Non-Zakat
Fathima's Syrian & Gazan Challenge,Sisters'Â ProjectÂ Team,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Rianna's Syrian and Gazan Challenge,Team East London,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Arshiya's Syrian Challenge,Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Sumayyah's Syrian andÂ GazaÂ Challenge,Sisters'Â ProjectÂ Team,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Build a Masjid in Northern Syria,Rethink Mosque Fund,Village Project,Village Masjid / Village Mosque,Syria,VIL-SYR-MOS,Non-Zakat
"Maryam, Sara, Ismaeel, Nusayba & Aisha's Syrian & Gazan Challenge",Sisters'Â ProjectÂ Team,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Musaâ€™s Syrian and Gazan Challenge,Sisters'Â ProjectÂ Team,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Hibaâ€™s Syrian and Gazan Challenge,Sisters'Â ProjectÂ Team,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Kauserâ€™s Fundraiser for Syria and Gaza,Sisters'Â ProjectÂ Team,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Umm Musa's Syria & Gaza Fundraiser,Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Asim Eiman Syrian&Gazan Challenge,Team East London,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Nikki's Rethink Village Syria Fundraiser,Ramadan 2024: Rethink Village,Village Project,Village General,Syria,VIL-SYR-GEN,Non-Zakat
Donate to a Revolutionary Project,Ramadan 2024: Rethink Village,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Nazneen's fundraising for Syria,Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Maya for Syria,Syria's MostÂ Needy,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Gaza & Syria,Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Rethink Village Pledge,Ramadan 2024: Rethink Village,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Donate your Interest Money,Rethink Charity,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Ameenah Shaw's Syrian & Gazan Challenge,Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Noreen-Gaza-Appeal,Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,Gaza,MST-GAZ,Zakat
Maliha's Village Home Appeal,Ramadan 2024: Rethink Village,Village Project,Village Houses,Syria,VIL-SYR-HOU,Non-Zakat
Masjid Dawood repairs,Rethink Mosque Fund,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Samra's Appeal for Syria &Â Gaza,Sisters'Â ProjectÂ Team,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
United We Stand - Safa Ahmad,Sisters'Â ProjectÂ Team,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Helping the Ummah,Ramadan 2024: Rethink Village,Village Project,Village Houses,Syria,VIL-SYR-HOU,Zakat
LaunchGood Appeal for Syria,Syria's MostÂ Needy,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Team Iffat's Village in Syria,Ramadan 2024: Rethink Village,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Bait Ur Rahma,Rethink Mosque Fund,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Non-Zakat
Zarqa Hussain's Village Project,Ramadan 2024: Rethink Village,Village Project,Village Houses,Syria,VIL-SYR-HOU,Zakat
Masjid Sadaqah E Jaria in memory of Mohammed Rafiq,Rethink Mosque Fund,Village Project,Village Masjid / Village Mosque,Syria,VIL-SYR-MOS,Non-Zakat
Sama's Appeal,Sisters'Â ProjectÂ Team,Sponsorships,Huffaz Sponsorships,General / Multi-Country,SPN-ALL-HUF,Zakat
Live Qurbani 2024 - Rethink Charity,Qurbani 2024,Seasonal & Annual Campaigns,Qurbani,"Syria,Afghanistan",SEA-ALL-QUR,Zakat
Maqsudah & Sakina's fundraiser for the biggest school in Shaam!,Empower Through Education SP,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Coalsuma's Orphan Sponsorship,Orphan Fund 2024,Sponsorships,Orphan Sponsorship,Syria,SPN-SYR-ORP,Zakat
Dr umm Abdullah's EducateÂ the Ummah Sadaqa e JARIAH,Empower Through Education SP,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Jubbyâ€™s page (Gift a Muslim),Empower Through Education SP,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Sama & Ayaan's Shaam School Project,Empower Through Education SP,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Sisters' Project Empower Through Education,Empower Through Education SP,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Samra's School in Shaam Appeal,Empower Through Education SP,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
The biggest school in Shaam in the 10 best days,Empower Through Education SP,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Asia,Empower Through Education SP,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Zaida bintÂ DewanÂ Ali,Empower Through Education SP,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
School in Shaam Raising Hope for Ummah,Empower Through Education SP,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Coalsuma's Dhul HijjahÂ challenge,Empower Through Education SP,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Farah's Dhul Hijjah Appeal,Empower Through Education SP,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Educate & Empower Project,Educate & Empower,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Khalids Kakes Classroom,Empower Through Education SP,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Al-Hikmah Kids Academy Raising Money For A SchoolÂ InÂ Shaam,Empower Through Education SP,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Naheeda Zahoor's School in Shaam,Empower Through Education SP,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Hikmah Youth,Educate & Empower,Food,Village School,Syria,FOD-SYR-SCH,Non-Zakat
Sophina's School Project,Educate & Empower,Village Project,Village School,Syria,VIL-SYR-SCH,Zakat
Syria Village Fundraiser,Ramadan 2024: Rethink Village,Village Project,Village Houses,Syria,VIL-SYR-HOU,Zakat
SCHOOL IN SHAAM,Empower Through Education SP,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Amna's Educate and Empowerment Project,Educate & Empower,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
School in Shaam,Educate & Empower,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
Ashma's Classroom,Educate & Empower Int.,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Sisters4Sadaqah's Orphan,Orphan Fund 2024,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Mohammad Omar's School Project,Educate & Empower,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Nazneenâ€™s School Project,Educate & Empower,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Ruhi for school in Shaam,Educate & Empower Int.,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Gaza Emergency Appeal,Gaza Emergency Appeal,Emergency Aid,Emergency Aid,Gaza,EMR-GAZ,Zakat
SISTERS' PROJECT COLLECTIVE GAZAÂ APPEAL,SISTERS' PROJECT COLLECTIVE GAZA APPEAL,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Dr umm Abdullah's Feed Gaza emergencyÂ appeal,SISTERS' PROJECT COLLECTIVE GAZA APPEAL,General Fund,Most Needed / Flexible Allocation,Gaza,MST-GAZ,Zakat
Zoya For Gaza,SISTERS' PROJECT COLLECTIVE GAZA APPEAL,Emergency Aid,Unassigned,Gaza,EMR-GAZ,Zakat
ZAKSIDAT_GAZA_EMERGENCY_APPEAL,SISTERS' PROJECT COLLECTIVE GAZA APPEAL,Emergency Aid,Unassigned,Gaza,EMR-GAZ,Zakat
Naheeda For Gaza,SISTERS' PROJECT COLLECTIVE GAZA APPEAL,Emergency Aid,Unassigned,Gaza,EMR-GAZ,Zakat
Educate a Child,Educate & Empower,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Coalsuma for Gaza,SISTERS' PROJECT COLLECTIVE GAZA APPEAL,Emergency Aid,Unassigned,Gaza,EMR-GAZ,Zakat
Samra For Gaza,SISTERS' PROJECT COLLECTIVE GAZA APPEAL,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Sama for Gaza,SISTERS' PROJECT COLLECTIVE GAZA APPEAL,Emergency Aid,Unassigned,Gaza,EMR-GAZ,Zakat
ZAKSIDAT_SYRIA_APPEAL,Syria's MostÂ Needy,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
A decent life for more than 1200 poor Egyptian families,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
From the ummah to the ummah school project in Syria,Educate & Empower,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Rafiullah for the biggest school In Syria - D2S,Brecon Beacons Trek 2024,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Ikraam for the biggest school In Syria - D2S,Brecon Beacons Trek 2024,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Habib for the biggest school In Syria - D2S,Brecon Beacons Trek 2024,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Yousuf for the biggest school In Syria - D2S,Brecon Beacons Trek 2024,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Rethink Charity - Movement for Hope,Prosthetic Limbs Project,One-Off Projects,Prosthetic Limbs,Gaza,MST-ALL,Non-Zakat
Ayan for the biggest school In Syria - D2S,Brecon Beacons Trek 2024,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Yaseen for the biggest school In Syria - D2S,Brecon Beacons Trek 2024,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Kabs for the biggest school In Syria - D2S,Brecon Beacons Trek 2024,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Muhammad for the biggest school In Syria - D2S,Brecon Beacons Trek 2024,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Isa for the biggest school In Syria - D2S,Brecon Beacons Trek 2024,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Homes of the servants of the Merciful,Sisters'Â ProjectÂ Team,Village Project,Village Houses,Syria,VIL-SYR-HOU,Zakat
Mohammed for the biggest school In Syria - D2S,Brecon Beacons Trek 2024,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Abada for the biggest school In Syria - D2S,Brecon Beacons Trek 2024,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Muhammed for the biggest school In Syria - D2S,Brecon Beacons Trek 2024,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Nakib for the biggest school In Syria - D2S,Brecon Beacons Trek 2024,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Remaining Hopeful.,Prosthetic Limbs Project,One-Off Projects,Prosthetic Limbs,Gaza,MST-ALL,Non-Zakat
Our Jannah,Syria's MostÂ Needy,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
SYRIA'S REVIVALÂ CAMPAIGN,Sisters'Â ProjectÂ Team,Emergency Aid,Unassigned,Syria,EMR-SYR,Zakat
Atia's Winter Appeal,Syria's MostÂ Needy,Emergency Aid,Unassigned,Syria,EMR-SYR,Zakat
Syriaâ€™s Revival: Your TimeÂ toÂ MakeÂ History,SYRIA NOW,Emergency Aid,Unassigned,Syria,EMR-SYR,Zakat
Syriaâ€™s Revival,SYRIA NOW,Emergency Aid,Unassigned,Syria,EMR-SYR,Zakat
Supporting & empowering our widowed mothersÂ inÂ Syria,SYRIA NOW,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Helping the Oppressed of Sednaya Prison,SYRIA NOW,Emergency Aid,Unassigned,Syria,EMR-SYR,Zakat
Abu Saarah for Syriaâ€™s Revival!,SYRIA NOW,Emergency Aid,Unassigned,Syria,EMR-SYR,Zakat
Benajir for Syriaâ€™s Revival,SYRIA NOW,Emergency Aid,Unassigned,Syria,EMR-SYR,Zakat
Help Syrians and gazans,Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Rebuilding Syria,SYRIA NOW,Village Project,Village General,Syria,VIL-SYR-GEN,Non-Zakat
Rethink Mosque Fund,Rethink Mosque Fund,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
Asmar for the biggest school In Syria - D2S,Brecon Beacons Trek 2024,Village Project,Village School,Syria,VIL-SYR-SCH,Non-Zakat
Gaza Emergency,Syrian & Gazan Challenge,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
IFTAR4SHAAM CHALLENGE!,RAMADAN 2025 IFTAR4SHAAM CHALLENGE,Seasonal & Annual Campaigns,Iftar,Syria,SEA-SYR-IFT,Zakat
DR UMM ABDULLAH IFTAR4SHAAM CHALLENGE,RAMADAN 2025 IFTAR4SHAAM CHALLENGE,Seasonal & Annual Campaigns,Iftar,Syria,SEA-SYR-IFT,Zakat
Umm Ruhees Ramadan Campaign 2025,THE LIBERATED LANDS CHALLENGE!,Seasonal & Annual Campaigns,Iftar,"Syria,Afghanistan,Gaza",SEA-ALL-IFT,Zakat
The LiberatedÂ Lands - Rethink Charity,THE LIBERATED LANDS CHALLENGE!,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Osman for The Liberated Lands.,Team East London,General Fund,Most Needed / Flexible Allocation,"Syria,Palestine,Afghanistan",MST-SYR,Zakat
DR UMM ABDULLAH LAST 10 NIGHTS FOR MASJID IN GHOUTA,TEAM SISTERS' PROJECT,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Taiyub's Last 10 Days Appeal!,TEAM SISTERS' PROJECT,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
"Feed Syria, Palestine & Afghanistan",THE LIBERATED LANDS - RETHINK CHARITY INT.,Food,Unassigned,"Syria,Gaza,Afghanistan",FOD-ALL,Zakat
MK4SYRIA,THE LIBERATED LANDS CHALLENGE!,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Last 10 Days Appeal: BUILD A LEGACY MASJID IN GHOUTA WITH SISTERS' PROJECT,TEAM SISTERS' PROJECT,Infrastructure,Masjid Construction / Restoration,Syria,MAS-SYR,Non-Zakat
Arabic Gems - The Liberated Lands,TEAM INFLUENCERS,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Al-Kauthar,THE LIBERATED LANDS CHALLENGE!,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
Path to Jannah,TEAM SISTERS' PROJECT,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Help Rebuild Syria/Palestine/Afghanistan,THE LIBERATED LANDS CHALLENGE!,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Asia's Last 10 Days Appeal!,TEAM SISTERS' PROJECT,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Our Door to Jannat ul Firdaws,TEAM SISTERS' PROJECT,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Sakinaâ€™s Last 10 Days Appeal!,TEAM SISTERS' PROJECT,Sponsorships,Unassigned,Syria,SPN-SYR,Zakat
